StudyHours,Attendance,Marks,SleepHours
2,75,55,6
4,80,65,7
6,85,75,6
8,90,85,8
1,60,40,5
3,70,50,6
5,88,70,7
7,92,88,8
2,65,48,6
6,87,78,7
4,82,68,6
5,85,72,7
3,75,58,6
7,90,82,8
8,95,90,8
2,68,52,5
6,88,80,7
5,84,74,6
3,72,60,6
7,91,85,8
1,58,38,5
2,62,45,6
3,70,55,6
4,78,62,7
5,83,70,7
6,86,76,7
7,90,84,8
8,94,91,8
2,66,49,6
3,74,57,6
4,80,66,7
5,85,73,7
6,89,79,7
7,92,87,8
1,55,35,5
2,63,47,6
3,71,56,6
4,79,64,7
5,84,71,7
6,88,77,7
7,91,86,8
8,96,93,8
2,67,50,6
3,73,59,6
4,81,67,7
5,86,75,7
6,90,81,7
7,93,89,8
1,57,37,5
8,97,95,8
