Size,Sqft,Bedrooms,Age,Price
1,600,1,10,200000
2,800,2,8,300000
3,1200,3,5,500000
2,900,2,7,320000
4,1500,4,3,650000
3,1100,3,6,480000
1,500,1,12,180000
2,850,2,9,310000
4,1600,4,2,700000
3,1300,3,4,550000
2,780,2,10,290000
3,1150,3,6,470000
1,550,1,11,190000
4,1700,4,2,720000
2,820,2,8,305000
3,1250,3,5,520000
1,600,1,9,210000
4,1550,4,3,680000
2,880,2,7,315000
3,1400,3,4,560000
1,520,1,13,175000
2,760,2,10,285000
3,1180,3,6,490000
4,1650,4,2,710000
2,840,2,9,300000
3,1350,3,5,540000
1,580,1,11,195000
4,1720,4,2,730000
2,810,2,8,295000
3,1280,3,6,510000
1,540,1,12,185000
2,870,2,9,305000
3,1220,3,5,500000
4,1600,4,3,690000
2,890,2,7,320000
3,1380,3,4,555000
1,560,1,10,200000
4,1680,4,2,720000
2,830,2,8,300000
3,1320,3,5,530000
1,510,1,13,170000
2,780,2,9,290000
3,1190,3,6,495000
4,1620,4,3,700000
2,860,2,8,310000
3,1450,3,4,570000
1,590,1,10,205000
4,1750,4,2,740000
2,800,2,9,295000
3,1250,3,5,515000
